NO;s_3;s_4;s_45;s_5;s_6;s_7;s_8;s_9;s_10;s_11;s_46_1;s_46_2;s_46_3;s_46_4;s_16;s_17;s_50;s_18;s_19;s_20;s_21;s_22;s_23;s_51;s_24;s_25;s_26;s_27;s_28;s_29;s_52;s_30;s_31;s_32;s_33;s_36_1;s_36_2;s_36_3;s_36_4;s_36_5;s_37_1;s_37_2;s_37_3;s_38;s_39;s_40;s_41_1;s_41_2;s_41_3;s_41_4;s_41_5;s_41_6;s_41_7;s_49_1;s_49_2;s_49_3;s_49_4;s_49_5;s_49_6;s_43_1;s_43_2;s_43_3;s_44
44;4;4;4;4;4;4;3;4;2;4;1;1;1;0;5;5;4;5;4;5;5;4;4;4;3;4;5;5;5;5;4;5;4;5;5;1;1;0;0;0;1;0;0;6;3;2006;0;1;0;1;1;1;0;1;1;1;1;1;0;1;1;1;1
45;1;3;3;4;5;3;4;4;4;2;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;0;0;1;0;0;0;1;0;7;3;2019;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;2
47;3;3;3;3;2;3;4;4;1;2;1;1;1;0;5;5;5;3;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;4;1;0;0;0;0;0;0;1;3;4;2017;1;1;0;1;0;0;0;1;0;0;0;0;0;1;1;1;2
48;3;3;3;5;5;3;6;4;1;3;1;0;0;0;5;4;5;5;5;5;5;;;;;;;;;;;;;;;1;0;0;0;0;1;0;0;3;4;2016;0;1;0;1;0;1;0;1;0;0;0;1;0;1;1;0;1
49;2;2;2;3;2;1;3;3;2;3;1;0;0;0;5;5;5;5;5;5;5;;;;;;;;;;;;;;;1;0;0;0;0;1;0;0;3;4;2019;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;3
51;2;1;2;2;2;3;3;4;1;3;1;0;0;0;3;4;4;4;4;4;4;;;;;;;;;;;;;;;0;1;0;0;0;1;0;0;5;3;2011;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;1
53;2;1;2;2;1;2;1;3;3;3;1;0;0;0;4;4;4;5;5;4;5;;;;;;;;;;;;;;;0;1;0;0;0;1;1;1;5;3;1993;0;0;0;0;0;1;0;1;1;1;1;1;0;1;0;1;2
54;2;3;3;3;5;3;5;5;1;3;1;0;0;0;5;5;4;5;5;5;5;;;;;;;;;;;;;;;0;1;0;0;0;1;0;0;4;3;2015;0;0;0;1;0;0;0;1;1;0;0;0;0;1;1;1;1
56;2;3;3;3;4;3;4;5;3;3;1;1;1;0;4;5;4;5;4;4;4;4;5;4;5;4;4;4;4;5;4;5;4;4;4;1;0;0;0;0;0;0;1;7;3;2016;1;1;1;1;0;1;1;1;0;1;0;1;0;1;1;1;2
57;3;2;3;3;2;3;6;4;2;3;1;1;1;0;3;3;3;3;3;4;4;2;2;2;2;2;2;2;3;3;3;3;3;3;3;1;0;0;0;0;1;0;0;6;3;2003;1;1;0;1;1;1;0;1;1;1;1;1;0;1;1;1;2
58;3;3;3;2;4;2;3;3;1;4;1;1;0;0;4;5;5;2;3;4;4;3;3;2;2;2;2;2;;;;;;;;1;0;0;0;0;0;0;1;3;2;2013;1;0;1;0;0;1;0;1;1;0;1;0;0;1;1;1;2
59;2;2;2;3;3;2;2;3;1;3;1;0;0;0;4;4;4;4;4;3;4;;;;;;;;;;;;;;;0;1;0;0;0;1;0;0;7;3;2008;0;0;0;0;0;1;0;1;0;1;1;1;0;1;0;0;1
61;3;4;4;3;5;2;5;5;2;3;1;1;1;0;5;5;5;3;4;5;5;4;5;5;3;4;5;5;4;5;5;3;4;5;5;0;1;0;0;0;1;0;0;5;3;2012;0;0;0;1;0;1;0;1;0;0;0;1;0;1;0;0;2
62;6;6;6;3;6;2;3;5;3;2;1;1;1;0;4;1;4;4;5;5;5;4;4;4;4;5;4;5;4;5;5;5;5;4;5;1;1;0;0;0;0;0;1;6;3;1997;1;1;0;1;0;0;0;1;0;1;1;1;0;0;1;1;2
63;2;1;2;1;2;3;1;4;2;3;1;0;1;0;4;3;5;4;4;5;5;;;;;;;;4;3;5;4;5;5;5;0;1;0;0;0;1;0;0;5;3;2007;0;0;0;1;0;1;0;1;0;1;1;1;0;1;1;1;1
64;3;5;4;4;5;1;3;5;1;2;1;0;0;0;4;5;5;4;4;4;5;;;;;;;;;;;;;;;1;0;0;0;0;0;0;1;3;4;2020;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;2
65;3;5;3;3;4;3;3;4;2;5;1;1;1;0;4;5;5;2;5;5;5;4;3;5;2;5;5;5;5;5;5;2;5;5;5;1;0;0;0;0;1;0;0;6;3;2002;1;1;1;1;1;0;0;1;1;1;1;1;0;1;1;1;1
66;2;2;2;3;3;2;6;4;1;2;1;1;1;0;4;5;5;5;5;5;5;3;5;5;5;5;5;5;3;5;5;5;5;5;5;1;0;0;0;0;0;1;0;5;3;2007;1;0;0;1;1;1;0;1;1;0;0;1;0;1;0;1;2
68;2;6;2;4;4;2;5;5;1;2;1;0;0;0;4;4;4;4;4;4;4;;;;;;;;;;;;;;;0;0;0;0;1;1;0;0;7;4;2017;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1
69;2;2;3;5;3;3;4;5;1;4;1;1;1;0;4;2;5;3;4;5;5;1;1;1;5;5;1;1;5;1;5;4;1;4;5;1;0;0;0;0;1;0;0;3;4;2018;1;1;0;1;0;1;0;1;1;1;1;0;0;1;1;0;1
73;4;2;3;4;4;3;3;3;2;4;1;1;1;0;5;4;5;5;5;5;5;5;4;5;5;4;5;5;5;5;5;5;5;5;5;1;0;0;0;0;1;0;0;5;3;2008;1;1;0;1;0;0;1;1;0;0;0;0;1;1;1;1;2
75;1;1;1;2;1;1;1;5;1;4;1;1;0;0;5;3;3;5;5;5;5;1;1;3;4;4;1;1;;;;;;;;1;0;0;0;0;1;0;0;3;4;2018;0;1;1;0;0;1;0;1;0;1;1;1;0;1;1;1;2
76;4;4;5;5;5;3;3;5;2;3;1;1;1;0;5;5;5;3;3;4;4;4;4;3;2;2;2;2;5;4;5;3;4;4;4;1;0;0;0;0;1;0;0;6;3;1996;1;1;0;1;1;0;0;1;0;0;0;0;0;1;1;1;1
